,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_pressure,main_humidity,main_temp_min,main_temp_max,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_message,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,main_sea_level,main_grnd_level,rain_1h,wind_gust,message,rain_3h,snow_3h,cities
1,-73.75,42.65,500,Rain,light rain,10n,stations,287.13,1020,100,285.15,289.15,11265,1.35,167.407,90,1569906487,1,5137,0.0117,US,1569927106,1569969452,-14400,5106834,Albany,200,,,0.25,,,,,albany
1,126.91,41.81,800,Clear,clear sky,01d,stations,296.7,1017.56,42,296.7,296.7,,1.89,229.938,0,1569906488,,,0.0059,CN,1569878895,1569921368,28800,2036069,Linjiang,200,1017.56,937.3,,,,,,linjiang
1,-73.98,45.63,501,Rain,moderate rain,10n,stations,282.06,1020,93,280.93,283.15,16093,3.1,50,90,1569906489,1,861,0.0115,CA,1569927223,1569969445,-14400,6138501,Saint-Augustin,200,,,3.3,,,,,saint-augustin
1,-151.75,-16.48,802,Clouds,scattered clouds,03n,stations,298.2,1016.32,80,298.2,298.2,,9.41,130.481,44,1569906489,,,0.0075,PF,1569858604,1569902625,-36000,4034551,Faanui,200,1016.32,1016.39,,,,,,faanui
1,127.67,26.12,803,Clouds,broken clouds,04d,stations,304.01,1012,70,303.15,305.15,10000,10.8,150,75,1569906489,1,8137,0.0082,JP,1569878473,1569921426,32400,1861280,Itoman,200,,,,,,,,itoman
1,48.8,-19.9,500,Rain,light rain,10d,stations,296.3,1018.04,89,296.3,296.3,,2.2,44.263,100,1569906490,,,0.0076,MG,1569896799,1569940949,10800,1062553,Mahanoro,200,1018.04,996.97,,,,0.25,,mahanoro
1,6.91,62.91,520,Rain,light intensity shower rain,09n,stations,279.18,990,81,275.93,281.15,10000,8.2,270,75,1569906491,1,1643,0.0061,NO,1569908328,1569949522,7200,7626370,Bud,200,,,,14.9,,,,bud
1,147.06,-42.78,802,Clouds,scattered clouds,03d,stations,288.99,1025,41,288.15,289.82,10000,5.1,150,33,1569906491,1,9545,0.0067,AU,1569872776,1569917818,36000,2155415,New Norfolk,200,,,,,,,,new norfolk
1,-95.98,19.05,800,Clear,clear sky,01n,stations,300.79,1012,74,300.37,301.15,11265,1,60,5,1569906491,1,7179,0.0062,MX,1569932065,1569975160,-18000,3532821,Anton Lizardo,200,,,,,,,,anton lizardo
1,-94.42,30.04,701,Mist,mist,50n,stations,298.53,1016,88,296.48,301.48,16093,2.3,119.547,1,1569906492,1,3476,0.0061,US,1569931849,1569974628,-18000,4732862,Nome,200,,,,,,,,nome
1,22.34,39.45,800,Clear,clear sky,01d,stations,289.91,1011,60,287.15,293.15,10000,3.6,300,0,1569906492,1,6607,0.0063,GR,1569903967,1569946478,10800,262462,Saint George,200,,,,,,,,saint george
1,125.51,12.18,803,Clouds,broken clouds,04d,stations,302.6,1009.97,69,302.6,302.6,,3.89,132.309,72,1569906492,,,0.0064,PH,1569878816,1569922119,28800,1688696,San Policarpo,200,1009.97,1008.77,,,,,,san policarpo
1,-139.03,-9.8,803,Clouds,broken clouds,04n,stations,299.4,1013.55,76,299.4,299.4,,7.06,107.701,54,1569906493,,,0.0075,PF,1569855643,1569899483,-34200,4020109,Atuona,200,1013.55,1013.61,,,,,,atuona
1,8.78,-0.72,804,Clouds,overcast clouds,04n,stations,298.2,1012.46,80,298.2,298.2,,4.71,191.582,99,1569906494,,,0.007,GA,1569906668,1569950285,3600,2396518,Port-Gentil,200,1012.46,1012.34,,,,,,port-gentil
1,-11.44,14.44,803,Clouds,broken clouds,04n,stations,300.5,1008.98,56,300.5,300.5,,3.91,246.678,51,1569906494,,,0.0064,ML,1569911713,1569954943,0,2455518,Kayes,200,1008.98,1001.53,,,,,,kayes
1,-161.76,60.79,802,Clouds,scattered clouds,03n,stations,281.15,1014,75,281.15,281.15,16093,2.6,330,40,1569906495,1,7640,0.006,US,1569862237,1569903796,-28800,5880568,Bethel,200,,,,,,,,bethel
1,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,city not found,,,tsihombe
